,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Mitchells vs the Machines,(2021),113 min,7.8,80        ,"45,720",-
1,Zack Snyder's Justice League,(2021),242 min,8.2,54        ,"290,321",-
2,The Father,(I) (2020),97 min,8.3,88        ,"60,440",-
3,Avengers: Endgame,(2019),181 min,8.4,78        ,"876,536",$858.37M
4,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,395,653",$28.34M
5,Sound of Metal,(2019),120 min,7.8,82        ,"86,779",-
6,Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        ,"582,991",$142.50M
7,Tombstone,(1993),130 min,7.8,50        ,"130,348",$56.51M
8,Another Round,(2020),117 min,7.8,80        ,"77,453",-
9,Knives Out,(2019),130 min,7.9,82        ,"491,563",$165.36M
10,The Godfather,(1972),175 min,9.2,100        ,"1,659,414",$134.97M
11,Parasite,(2019),132 min,8.6,96        ,"609,714",$53.37M
12,Goodfellas,(1990),146 min,8.7,90        ,"1,043,072",$46.84M
13,The Gentlemen,(2019),113 min,7.8,51        ,"263,470",-
14,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,64        ,"675,104",$317.58M
15,Titanic,(1997),194 min,7.8,75        ,"1,068,056",$659.33M
16,Interstellar,(2014),169 min,8.6,74        ,"1,559,857",$188.02M
17,The Dark Knight,(2008),152 min,9.0,84        ,"2,357,271",$534.86M
18,Soul,(2020),100 min,8.1,83        ,"242,815",-
19,Bohemian Rhapsody,(2018),134 min,7.9,49        ,"469,261",$216.43M
20,Pulp Fiction,(1994),154 min,8.9,94        ,"1,863,352",$107.93M
21,Thor: Ragnarok,(2017),130 min,7.9,74        ,"613,953",$315.06M
22,Joker,(2019),122 min,8.4,59        ,"1,000,349",$335.45M
23,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,224,565",$116.90M
24,Saw,(2004),103 min,7.6,46        ,"385,820",$56.00M
25,Inception,(2010),148 min,8.8,74        ,"2,115,256",$292.58M
26,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,693,996",$315.54M
27,Back to the Future,(1985),116 min,8.5,87        ,"1,082,388",$210.61M
28,Forrest Gump,(1994),142 min,8.8,82        ,"1,852,425",$330.25M
29,Dazed and Confused,(1993),102 min,7.6,78        ,"169,860",$7.99M
30,Avengers: Infinity War,(2018),149 min,8.4,68        ,"878,787",$678.82M
31,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,298,299",$120.54M
32,The Silence of the Lambs,(1991),118 min,8.6,85        ,"1,299,096",$130.74M
33,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,064,605",$333.18M
34,Baby Driver,(2017),113 min,7.6,86        ,"455,557",$107.83M
35,The Goonies,(1985),114 min,7.8,62        ,"249,033",$61.50M
36,Ex Machina,(2014),108 min,7.7,78        ,"484,812",$25.44M
37,Soorarai Pottru,(2020),153 min,9.1,-,"79,330",-
38,Gladiator,(2000),155 min,8.5,67        ,"1,366,823",$187.71M
39,The Matrix,(1999),136 min,8.7,73        ,"1,711,382",$171.48M
40,Jurassic Park,(1993),127 min,8.1,68        ,"885,014",$402.45M
41,Alien,(1979),117 min,8.4,89        ,"803,275",$78.90M
42,Blade Runner 2049,(2017),164 min,8.0,81        ,"478,939",$92.05M
43,Brokeback Mountain,(2005),134 min,7.7,87        ,"329,587",$83.04M
44,Prisoners,(2013),153 min,8.1,70        ,"617,598",$61.00M
45,Big Fish,(2003),125 min,8.0,58        ,"420,203",$66.26M
46,Wind River,(2017),107 min,7.7,73        ,"214,179",$33.80M
47,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"588,052",$389.81M
48,Come and See,(1985),142 min,8.3,-,"62,840",-
49,Fight Club,(1999),139 min,8.8,66        ,"1,893,200",$37.03M
